epoch	lr	loss_train	loss_test	err_test	
1	0.00100	0.55795	0.09405	68.03190	
2	0.00100	0.12560	0.06875	58.39749	
3	0.00100	0.09755	0.05866	53.79850	
4	0.00100	0.08438	0.05447	51.95522	
5	0.00100	0.07565	0.05159	50.50392	
6	0.00100	0.06946	0.05045	49.76379	
7	0.00100	0.06483	0.04709	48.14865	
8	0.00100	0.06100	0.04568	47.62771	
9	0.00100	0.05797	0.04557	47.14289	
10	0.00100	0.05563	0.04477	47.12448	
11	0.00100	0.05365	0.04313	46.32760	
12	0.00100	0.05161	0.04307	46.05963	
13	0.00100	0.05031	0.04371	46.77509	
14	0.00100	0.04925	0.04224	45.56696	
15	0.00100	0.04813	0.04260	45.64696	
16	0.00100	0.04714	0.04210	45.42169	
17	0.00100	0.04646	0.04076	44.24519	
18	0.00100	0.04562	0.04088	44.54633	
19	0.00100	0.04491	0.04102	44.72047	
20	0.00100	0.04430	0.04107	44.81564	
21	0.00100	0.04391	0.04030	44.19850	
22	0.00100	0.04357	0.04036	44.32772	
23	0.00100	0.04300	0.03976	44.43846	
24	0.00100	0.04250	0.03937	43.89239	
25	0.00100	0.04204	0.04120	45.42790	
26	0.00100	0.04189	0.04055	44.50736	
27	0.00100	0.04159	0.03999	44.48044	
28	0.00100	0.04117	0.04041	44.44095	
29	0.00100	0.04098	0.03992	44.45166	
30	0.00100	0.04073	0.03984	44.03078	
31	0.00100	0.04045	0.04001	44.87554	
32	0.00100	0.04012	0.03963	44.07439	
33	0.00100	0.04006	0.03942	44.19728	
34	0.00100	0.03969	0.03911	43.81058	
35	0.00100	0.03935	0.03992	44.49234	
36	0.00100	0.03939	0.04047	44.45296	
37	0.00100	0.03915	0.04154	46.04874	
38	0.00100	0.03910	0.04122	45.14355	
39	0.00100	0.03875	0.03970	44.18684	
40	0.00100	0.03871	0.04034	44.72262	
41	0.00100	0.03843	0.03906	43.54707	
42	0.00100	0.03840	0.03942	43.82093	
43	0.00100	0.03804	0.03910	43.90199	
44	0.00100	0.03799	0.03894	43.65789	
45	0.00100	0.03794	0.03940	43.65466	
46	0.00100	0.03763	0.04009	44.19863	
47	0.00100	0.03750	0.03904	43.75244	
48	0.00100	0.03741	0.03974	43.98666	
49	0.00100	0.03734	0.03956	43.85231	
50	0.00100	0.03720	0.03899	43.52336	
51	0.00100	0.03712	0.03887	43.53648	
52	0.00100	0.03679	0.03942	43.71311	
53	0.00100	0.03686	0.03879	43.48016	
54	0.00100	0.03671	0.03894	43.78194	
55	0.00100	0.03660	0.03923	43.81955	
56	0.00100	0.03657	0.03948	43.80426	
57	0.00100	0.03656	0.04011	44.60020	
58	0.00100	0.03621	0.03918	43.73448	
59	0.00100	0.03631	0.03917	43.97714	
60	0.00100	0.03606	0.03894	43.71191	
61	0.00100	0.03600	0.03916	43.56630	
62	0.00100	0.03594	0.03936	43.99946	
63	0.00100	0.03590	0.03924	43.56428	
64	0.00100	0.03577	0.03852	43.48221	
65	0.00100	0.03563	0.03888	43.74371	
66	0.00100	0.03554	0.03861	43.27251	
67	0.00100	0.03559	0.03916	43.63505	
68	0.00100	0.03531	0.03859	43.13120	
69	0.00100	0.03523	0.03898	43.22108	
70	0.00100	0.03532	0.03834	43.04216	
71	0.00100	0.03525	0.03900	43.35591	
72	0.00100	0.03518	0.03835	42.94990	
73	0.00100	0.03507	0.03904	43.59654	
74	0.00100	0.03489	0.03943	43.90959	
75	0.00100	0.03488	0.03932	43.49319	
76	0.00100	0.03504	0.03864	43.13274	
77	0.00100	0.03483	0.03828	42.81656	
78	0.00100	0.03468	0.03889	43.15304	
79	0.00100	0.03460	0.03856	43.50230	
80	0.00100	0.03470	0.03919	43.58778	
81	0.00100	0.03460	0.03841	43.10473	
82	0.00100	0.03458	0.03970	43.66433	
83	0.00100	0.03440	0.03849	43.35791	
84	0.00100	0.03441	0.03893	43.50402	
85	0.00100	0.03449	0.04027	44.68936	
86	0.00100	0.03419	0.03858	43.35376	
87	0.00100	0.03406	0.03891	43.34976	
88	0.00100	0.03405	0.03889	43.56200	
89	0.00100	0.03414	0.03969	43.98791	
90	0.00100	0.03404	0.03952	43.85888	
91	0.00100	0.03394	0.03885	43.54913	
92	0.00100	0.03396	0.03840	42.96567	
93	0.00100	0.03389	0.03873	43.38640	
94	0.00100	0.03370	0.03917	43.58371	
95	0.00100	0.03371	0.03868	43.23434	
96	0.00100	0.03375	0.03875	43.22421	
97	0.00100	0.03366	0.03818	42.71641	
98	0.00100	0.03374	0.03898	43.25644	
99	0.00100	0.03364	0.03880	43.12182	
100	0.00100	0.03348	0.03884	43.42804	
101	0.00100	0.03354	0.03847	42.94897	
102	0.00100	0.03332	0.03796	43.11439	
103	0.00100	0.03342	0.03869	43.13778	
104	0.00100	0.03337	0.03870	43.40776	
105	0.00100	0.03319	0.03920	43.85923	
106	0.00100	0.03321	0.03881	43.33926	
107	0.00100	0.03334	0.03895	43.53552	
108	0.00100	0.03317	0.03863	43.14588	
109	0.00100	0.03317	0.04048	44.74751	
110	0.00100	0.03305	0.03929	43.20107	
111	0.00100	0.03306	0.03881	43.35246	
112	0.00100	0.03291	0.03959	43.30123	
113	0.00100	0.03299	0.03842	42.99135	
114	0.00100	0.03287	0.03864	42.99003	
115	0.00100	0.03306	0.03877	43.18837	
116	0.00100	0.03291	0.03907	43.58163	
117	0.00100	0.03287	0.03902	43.33631	
118	0.00100	0.03286	0.03950	43.77382	
119	0.00100	0.03273	0.03852	43.08244	
120	0.00100	0.03270	0.03906	43.05219	
121	0.00100	0.03265	0.03892	43.10184	
122	0.00100	0.03257	0.03917	43.40704	
123	0.00100	0.03265	0.03900	43.53554	
124	0.00100	0.03258	0.03918	43.33061	
125	0.00100	0.03242	0.03892	43.21459	
126	0.00100	0.03247	0.03922	43.46293	
127	0.00100	0.03254	0.03886	43.31227	
128	0.00100	0.03246	0.03886	43.01021	
129	0.00100	0.03240	0.03827	42.64002	
130	0.00100	0.03227	0.03888	43.23665	
131	0.00100	0.03224	0.03902	43.16053	
132	0.00100	0.03229	0.03959	43.54720	
133	0.00100	0.03221	0.03802	42.78768	
134	0.00100	0.03224	0.03919	43.33560	
135	0.00100	0.03216	0.03848	43.09601	
136	0.00100	0.03216	0.03924	43.20255	
137	0.00100	0.03218	0.03964	43.45095	
138	0.00100	0.03207	0.03896	43.22115	
139	0.00100	0.03205	0.03899	43.48657	
140	0.00100	0.03210	0.03920	43.29930	
141	0.00100	0.03203	0.03865	42.81881	
142	0.00100	0.03198	0.03901	43.02823	
143	0.00100	0.03199	0.03891	43.27181	
144	0.00100	0.03198	0.03892	43.32174	
145	0.00100	0.03185	0.03920	43.37298	
146	0.00100	0.03182	0.03851	42.89083	
147	0.00100	0.03191	0.03898	43.27431	
148	0.00100	0.03183	0.03887	43.20957	
149	0.00100	0.03183	0.03881	43.11271	
150	0.00100	0.03173	0.03942	43.20368	
151	0.00100	0.03178	0.03884	43.35470	
152	0.00100	0.03167	0.03873	42.98973	
153	0.00100	0.03164	0.03855	43.05018	
154	0.00100	0.03166	0.03972	43.62537	
155	0.00100	0.03161	0.03921	43.31058	
156	0.00100	0.03168	0.03902	43.49096	
157	0.00100	0.03156	0.03800	42.90072	
158	0.00100	0.03163	0.03945	43.63028	
159	0.00100	0.03147	0.03852	42.85642	
160	0.00100	0.03154	0.03915	43.41114	
161	0.00100	0.03155	0.03921	43.30928	
162	0.00100	0.03141	0.03897	43.05874	
163	0.00100	0.03154	0.03907	42.96008	
164	0.00100	0.03143	0.03906	43.50103	
165	0.00100	0.03147	0.03831	42.72104	
166	0.00100	0.03140	0.03885	42.90082	
167	0.00100	0.03138	0.03908	43.22428	
168	0.00100	0.03135	0.03865	42.96538	
169	0.00100	0.03124	0.03949	43.27228	
170	0.00100	0.03129	0.03905	43.27321	
171	0.00100	0.03129	0.03914	43.20694	
172	0.00100	0.03117	0.03871	43.01522	
173	0.00100	0.03119	0.03877	42.95239	
174	0.00100	0.03119	0.03862	42.78845	
175	0.00100	0.03116	0.04016	43.68268	
176	0.00100	0.03121	0.03861	42.66785	
177	0.00100	0.03113	0.03886	43.27849	
178	0.00100	0.03110	0.03858	42.79997	
179	0.00100	0.03113	0.03899	43.39982	
180	0.00100	0.03112	0.03903	43.03558	
181	0.00100	0.03115	0.03953	43.19979	
182	0.00100	0.03104	0.03923	43.51061	
183	0.00100	0.03103	0.03879	43.06791	
184	0.00100	0.03092	0.03889	43.01434	
185	0.00100	0.03099	0.03895	43.09853	
186	0.00100	0.03092	0.03938	43.41193	
187	0.00100	0.03098	0.03891	42.90668	
188	0.00100	0.03094	0.03907	43.08837	
189	0.00100	0.03093	0.03876	42.79121	
190	0.00100	0.03094	0.03817	42.54045	
191	0.00100	0.03078	0.03895	43.10167	
192	0.00100	0.03097	0.03911	43.28225	
193	0.00100	0.03086	0.03905	43.10057	
194	0.00100	0.03083	0.03874	42.92554	
195	0.00100	0.03078	0.03859	42.85941	
196	0.00100	0.03082	0.03848	42.53444	
197	0.00100	0.03076	0.03904	43.09135	
198	0.00100	0.03078	0.03881	43.00693	
199	0.00100	0.03074	0.03840	42.78347	
200	0.00100	0.03064	0.03879	42.79585	
