epoch	lr	loss_train	loss_test	err_test	
1	0.00065	0.71285	0.08370	63.78828	
2	0.00065	0.11297	0.05882	53.42529	
3	0.00065	0.07902	0.04971	48.70611	
4	0.00065	0.06333	0.04601	46.68368	
5	0.00065	0.05370	0.04358	45.47729	
6	0.00065	0.04710	0.04143	44.04534	
7	0.00065	0.04216	0.03990	43.37998	
8	0.00065	0.03859	0.04074	43.91102	
9	0.00065	0.03555	0.03961	43.25514	
10	0.00065	0.03308	0.03966	43.98623	
11	0.00065	0.03121	0.03832	42.25036	
12	0.00065	0.02939	0.03803	42.25124	
13	0.00065	0.02805	0.03653	41.65998	
14	0.00065	0.02674	0.03747	42.30774	
15	0.00065	0.02570	0.03575	40.99207	
16	0.00065	0.02476	0.03699	41.90135	
17	0.00065	0.02380	0.03774	43.10951	
18	0.00065	0.02316	0.03680	41.49384	
19	0.00065	0.02240	0.03642	41.20031	
20	0.00065	0.02165	0.03672	41.56077	
21	0.00065	0.02129	0.03608	41.39293	
22	0.00065	0.02071	0.03567	41.02332	
23	0.00065	0.02013	0.03669	41.92082	
24	0.00065	0.01983	0.03602	41.22199	
25	0.00065	0.01927	0.03668	41.56236	
26	0.00065	0.01891	0.03631	41.49048	
27	0.00065	0.01871	0.03666	41.89071	
28	0.00065	0.01835	0.03689	42.91889	
29	0.00065	0.01810	0.03532	40.64331	
30	0.00065	0.01758	0.03678	42.01659	
31	0.00065	0.01751	0.03624	41.22030	
32	0.00065	0.01730	0.03600	40.93435	
33	0.00065	0.01703	0.03586	41.17293	
34	0.00065	0.01674	0.03588	41.07671	
35	0.00065	0.01649	0.03589	41.07522	
36	0.00065	0.01631	0.03613	40.87918	
37	0.00065	0.01616	0.03689	41.86610	
38	0.00065	0.01585	0.03641	41.39199	
39	0.00065	0.01578	0.03631	41.23971	
40	0.00065	0.01566	0.03784	41.97970	
41	0.00065	0.01549	0.03658	41.26606	
42	0.00065	0.01554	0.03637	41.24806	
43	0.00065	0.01514	0.03680	41.59033	
44	0.00065	0.01504	0.03696	41.44305	
45	0.00065	0.01494	0.03637	41.32623	
46	0.00065	0.01483	0.03655	41.25571	
47	0.00065	0.01468	0.03681	41.70078	
48	0.00065	0.01464	0.03676	41.35103	
49	0.00065	0.01444	0.03614	41.14875	
50	0.00065	0.01450	0.03664	41.56085	
51	0.00065	0.01424	0.03687	41.57658	
52	0.00065	0.01423	0.03691	41.64827	
53	0.00065	0.01410	0.03776	42.33564	
54	0.00065	0.01394	0.03824	42.39500	
55	0.00065	0.01383	0.03715	41.70656	
56	0.00065	0.01379	0.03699	41.49448	
57	0.00065	0.01367	0.03744	42.24592	
58	0.00065	0.01369	0.03814	42.20880	
59	0.00065	0.01353	0.03719	41.47580	
60	0.00065	0.01343	0.03753	42.02922	
61	0.00065	0.01338	0.03736	42.05477	
62	0.00065	0.01331	0.03798	42.32791	
63	0.00065	0.01326	0.03786	42.07543	
64	0.00065	0.01305	0.03795	42.45581	
65	0.00065	0.01301	0.03842	42.62132	
66	0.00065	0.01304	0.03819	42.42637	
67	0.00065	0.01293	0.03886	42.98184	
68	0.00065	0.01292	0.03866	42.93244	
69	0.00065	0.01280	0.03852	42.66821	
70	0.00065	0.01278	0.03913	43.12898	
71	0.00065	0.01263	0.03947	43.34383	
72	0.00065	0.01273	0.03880	42.78660	
73	0.00065	0.01255	0.03841	42.71790	
74	0.00065	0.01251	0.03840	42.82583	
75	0.00065	0.01245	0.03990	43.88229	
76	0.00065	0.01252	0.03972	43.22194	
77	0.00065	0.01240	0.03897	43.10809	
78	0.00065	0.01229	0.03919	43.17377	
79	0.00065	0.01225	0.03928	43.25934	
80	0.00065	0.01218	0.03907	43.29928	
81	0.00065	0.01211	0.03926	43.49286	
82	0.00065	0.01209	0.03978	43.70164	
83	0.00065	0.01205	0.03907	42.88585	
84	0.00065	0.01199	0.03962	43.34693	
85	0.00065	0.01199	0.03943	43.51407	
86	0.00065	0.01189	0.04008	43.84003	
87	0.00065	0.01189	0.03986	43.59088	
88	0.00065	0.01178	0.04029	43.88104	
89	0.00065	0.01177	0.04056	44.09224	
90	0.00065	0.01170	0.04029	44.04321	
91	0.00065	0.01175	0.04074	44.11716	
92	0.00065	0.01159	0.04026	44.04231	
93	0.00065	0.01152	0.04039	43.81807	
94	0.00065	0.01155	0.04048	44.05500	
95	0.00065	0.01148	0.04058	44.02324	
96	0.00065	0.01144	0.04051	43.93229	
97	0.00065	0.01149	0.04078	44.34070	
98	0.00065	0.01136	0.04066	44.09214	
99	0.00065	0.01129	0.04076	44.14715	
100	0.00065	0.01128	0.04079	44.11744	
101	0.00065	0.01118	0.04126	44.78953	
102	0.00065	0.01122	0.04133	44.70612	
103	0.00065	0.01121	0.04101	44.49363	
104	0.00065	0.01114	0.04153	44.53122	
105	0.00065	0.01103	0.04176	44.87010	
106	0.00065	0.01107	0.04208	44.92458	
107	0.00065	0.01107	0.04187	45.22698	
108	0.00065	0.01097	0.04143	44.86168	
109	0.00065	0.01098	0.04149	44.59155	
110	0.00065	0.01101	0.04181	44.90961	
111	0.00065	0.01087	0.04248	45.31539	
112	0.00065	0.01086	0.04225	45.04063	
113	0.00065	0.01086	0.04251	45.42978	
114	0.00065	0.01075	0.04184	44.89295	
115	0.00065	0.01080	0.04203	45.01321	
116	0.00065	0.01074	0.04271	45.34559	
117	0.00065	0.01068	0.04282	45.67640	
118	0.00065	0.01066	0.04253	45.43118	
119	0.00065	0.01064	0.04250	45.37601	
120	0.00065	0.01060	0.04276	45.68346	
121	0.00065	0.01058	0.04317	45.96887	
122	0.00065	0.01058	0.04293	45.26432	
123	0.00065	0.01054	0.04219	45.06518	
124	0.00065	0.01045	0.04287	45.71146	
125	0.00065	0.01046	0.04275	45.35979	
126	0.00065	0.01045	0.04340	45.95793	
127	0.00065	0.01039	0.04286	45.61202	
128	0.00065	0.01039	0.04277	45.43580	
129	0.00065	0.01037	0.04400	46.05721	
130	0.00065	0.01032	0.04434	46.36438	
131	0.00065	0.01033	0.04407	46.37261	
132	0.00065	0.01027	0.04375	45.95377	
133	0.00065	0.01027	0.04309	45.59479	
134	0.00065	0.01020	0.04417	46.33066	
135	0.00065	0.01019	0.04430	46.42461	
136	0.00065	0.01016	0.04404	46.06068	
137	0.00065	0.01012	0.04427	46.20441	
138	0.00065	0.01014	0.04447	46.36926	
139	0.00065	0.01011	0.04421	46.43385	
140	0.00065	0.01005	0.04482	46.61333	
141	0.00065	0.01003	0.04438	46.59999	
142	0.00065	0.01003	0.04411	46.42197	
143	0.00065	0.01001	0.04414	46.26204	
144	0.00065	0.01000	0.04409	46.32243	
145	0.00065	0.01001	0.04514	47.02414	
146	0.00065	0.00996	0.04511	46.92533	
147	0.00065	0.00995	0.04440	46.33889	
148	0.00065	0.00986	0.04499	46.96325	
149	0.00065	0.00986	0.04544	47.02909	
150	0.00065	0.00986	0.04517	46.90737	
151	0.00065	0.00980	0.04469	46.71173	
152	0.00065	0.00981	0.04483	46.90709	
153	0.00065	0.00984	0.04569	47.16320	
154	0.00065	0.00976	0.04571	47.31692	
155	0.00065	0.00972	0.04581	47.26263	
156	0.00065	0.00975	0.04622	47.27168	
157	0.00065	0.00969	0.04553	47.17550	
158	0.00065	0.00968	0.04627	47.60634	
159	0.00065	0.00965	0.04696	47.98083	
160	0.00065	0.00970	0.04606	47.21810	
161	0.00065	0.00960	0.04563	47.05131	
162	0.00065	0.00958	0.04606	47.38446	
163	0.00065	0.00958	0.04627	47.66858	
164	0.00065	0.00948	0.04596	47.30844	
165	0.00065	0.00956	0.04648	47.65784	
166	0.00065	0.00955	0.04563	47.11334	
167	0.00065	0.00953	0.04593	47.40195	
168	0.00065	0.00948	0.04682	47.67688	
169	0.00065	0.00944	0.04647	47.65399	
170	0.00065	0.00943	0.04644	47.66611	
171	0.00065	0.00942	0.04659	47.66195	
172	0.00065	0.00940	0.04600	47.23203	
173	0.00065	0.00939	0.04662	47.77117	
174	0.00065	0.00933	0.04715	47.76220	
175	0.00065	0.00935	0.04666	47.72019	
176	0.00065	0.00935	0.04725	48.23413	
177	0.00065	0.00931	0.04713	47.99178	
178	0.00065	0.00934	0.04695	48.12237	
179	0.00065	0.00928	0.04685	47.94917	
180	0.00065	0.00926	0.04780	48.30317	
181	0.00065	0.00929	0.04836	48.59676	
182	0.00065	0.00926	0.04709	47.89025	
183	0.00065	0.00915	0.04804	48.53940	
184	0.00065	0.00920	0.04797	48.37943	
185	0.00065	0.00920	0.04719	47.98503	
186	0.00065	0.00914	0.04789	48.28305	
187	0.00065	0.00914	0.04800	48.43325	
188	0.00065	0.00911	0.04797	48.57790	
189	0.00065	0.00912	0.04849	48.65519	
190	0.00065	0.00907	0.04882	48.96306	
191	0.00065	0.00907	0.04794	48.47022	
192	0.00065	0.00901	0.04838	48.61745	
193	0.00065	0.00901	0.04894	48.96378	
194	0.00065	0.00905	0.04888	48.57235	
195	0.00065	0.00903	0.04899	48.93266	
196	0.00065	0.00900	0.04856	48.80153	
197	0.00065	0.00902	0.04823	48.64985	
198	0.00065	0.00891	0.04862	48.83072	
199	0.00065	0.00892	0.04848	48.62137	
200	0.00065	0.00892	0.04834	48.65016	
